iter	Passed	Remaining
417	3464	4824
418	3470	4812
419	3477	4801
420	3485	4793
421	3492	4784
422	3500	4775
423	3507	4764
424	3513	4753
425	3523	4747
426	3530	4737
427	3536	4725
428	3548	4722
429	3561	4721
430	3587	4735
431	3606	4741
432	3624	4745
433	3633	4739
434	3640	4728
435	3648	4720
436	3655	4708
437	3661	4697
438	3669	4689
439	3676	4679
440	3683	4668
441	3689	4657
442	3695	4646
443	3701	4635
444	3707	4624
445	3713	4613
446	3719	4601
447	3728	4593
448	3736	4585
449	3747	4579
450	3768	4587
451	3782	4585
452	3789	4575
453	3810	4582
454	3821	4577
455	3827	4566
456	3833	4555
457	3841	4545
458	3847	4534
459	3853	4523
460	3861	4514
461	3867	4503
462	3873	4492
463	3879	4481
464	3885	4470
465	3892	4460
466	3898	4449
467	3905	4439
468	3913	4430
469	3923	4424
470	3935	4420
471	3942	4410
472	3957	4408
473	3978	4414
474	3996	4417
475	4004	4407
476	4009	4396
477	4018	4387
478	4023	4376
479	4032	4368
480	4038	4357
481	4044	4346
482	4051	4336
483	4057	4325
484	4063	4315
485	4070	4304
486	4076	4293
487	4082	4283
488	4089	4273
489	4095	4262
490	4101	4251
491	4107	4241
492	4114	4231
493	4119	4219
494	4126	4209
495	4132	4199
496	4138	4188
497	4148	4181
498	4158	4175
499	4165	4165
500	4173	4156
501	4183	4150
502	4200	4150
503	4206	4139
504	4218	4134
505	4224	4124
506	4232	4115
507	4240	4107
508	4247	4097
509	4253	4086
510	4262	4079
511	4269	4069
512	4276	4059
513	4283	4050
514	4291	4041
515	4307	4040
516	4315	4031
517	4321	4021
518	4328	4011
519	4334	4000
520	4340	3990
521	4349	3982
522	4358	3975
523	4367	3967
524	4374	3957
525	4393	3959
526	4402	3951
527	4407	3940
528	4414	3930
529	4423	3922
530	4429	3912
531	4435	3901
532	4443	3893
533	4450	3883
534	4460	3877
535	4467	3867
536	4473	3857
537	4480	3847
538	4489	3840
539	4496	3830
540	4505	3822
541	4512	3812
542	4530	3812
543	4553	3816
544	4576	3820
545	4594	3820
546	4607	3815
547	4613	3805
548	4619	3795
549	4625	3784
550	4634	3776
551	4641	3767
552	4650	3758
553	4657	3749
554	4664	3740
555	4671	3730
556	4677	3720
557	4684	3710
558	4690	3700
559	4696	3689
560	4704	3681
561	4711	3672
562	4717	3661
563	4724	3652
564	4731	3643
565	4738	3633
566	4754	3631
567	4773	3630
568	4792	3629
569	4801	3622
570	4808	3612
571	4814	3602
572	4822	3593
573	4828	3583
574	4834	3573
575	4842	3564
576	4848	3554
577	4855	3544
578	4861	3534
579	4867	3525
580	4875	3516
581	4887	3510
582	4894	3501
583	4902	3492
584	4908	3482
585	4914	3471
586	4922	3463
587	4929	3454
588	4939	3446
589	4945	3437
590	4958	3431
591	4974	3428
592	4992	3426
593	5004	3420
594	5014	3412
595	5020	3403
596	5026	3393
597	5035	3384
598	5041	3375
599	5047	3365
600	5054	3355
601	5060	3345
602	5066	3335
603	5072	3325
604	5078	3316
605	5084	3305
606	5090	3295
607	5096	3286
608	5102	3276
609	5108	3266
610	5114	3256
611	5121	3246
612	5126	3236
613	5132	3226
614	5139	3217
615	5145	3207
616	5151	3197
617	5161	3190
618	5183	3190
619	5198	3186
620	5214	3182
621	5223	3174
622	5232	3166
623	5239	3156
624	5246	3147
625	5258	3141
626	5264	3131
627	5270	3122
628	5276	3112
629	5282	3102
630	5289	3093
631	5295	3083
632	5302	3074
633	5308	3064
634	5314	3055
635	5321	3045
636	5326	3035
637	5333	3025
638	5339	3016
639	5346	3007
640	5352	2997
641	5365	2992
642	5376	2985
643	5403	2986
644	5420	2983
645	5433	2977
646	5441	2969
647	5453	2962
648	5460	2953
649	5466	2943
650	5472	2933
651	5478	2924
652	5492	2918
653	5504	2911
654	5515	2905
655	5521	2895
656	5530	2887
657	5536	2877
658	5543	2868
659	5551	2859
660	5559	2851
661	5578	2848
662	5595	2843
663	5620	2843
664	5626	2834
665	5632	2824
666	5641	2816
667	5647	2806
668	5653	2797
669	5662	2789
670	5673	2782
671	5685	2775
672	5692	2765
673	5699	2756
674	5710	2749
675	5717	2740
676	5724	2731
677	5731	2722
678	5739	2713
679	5746	2704
680	5752	2694
681	5758	2684
682	5764	2675
683	5770	2666
684	5786	2661
685	5805	2657
686	5821	2652
687	5834	2645
688	5847	2639
689	5856	2631
690	5865	2623
691	5873	2614
692	5883	2606
693	5890	2597
694	5897	2587
695	5906	2579
696	5913	2570
697	5920	2561
698	5926	2552
699	5933	2542
700	5939	2533
701	5945	2523
702	5951	2514
703	5958	2505
704	5972	2499
705	5991	2495
706	6008	2490
707	6024	2484
708	6030	2475
709	6039	2467
710	6046	2457
711	6052	2448
712	6060	2439
713	6066	2430
714	6073	2420
715	6079	2411
716	6085	2402
717	6091	2392
718	6097	2383
719	6104	2373
720	6110	2364
721	6116	2355
722	6122	2345
723	6128	2336
724	6135	2327
725	6141	2317
726	6149	2309
727	6158	2300
728	6166	2292
729	6179	2285
730	6190	2277
731	6197	2269
732	6205	2260
733	6213	2251
734	6233	2247
735	6248	2241
736	6254	2231
737	6263	2223
738	6269	2214
739	6276	2205
740	6283	2196
741	6290	2187
742	6295	2177
743	6302	2168
744	6307	2159
745	6313	2149
746	6320	2140
747	6326	2131
748	6332	2121
749	6338	2112
750	6344	2103
751	6349	2094
752	6355	2084
753	6362	2075
754	6368	2066
755	6379	2059
756	6395	2053
757	6418	2049
758	6442	2045
759	6452	2037
760	6459	2028
761	6470	2020
762	6478	2012
763	6489	2004
764	6502	1997
765	6508	1988
766	6518	1980
767	6525	1971
768	6531	1962
769	6540	1953
770	6546	1944
771	6552	1935
772	6559	1926
773	6565	1916
774	6570	1907
775	6581	1899
776	6590	1891
777	6598	1882
778	6607	1874
779	6615	1866
780	6645	1863
781	6652	1854
782	6662	1846
783	6671	1838
784	6707	1837
785	6714	1828
786	6721	1819
787	6728	1810
788	6735	1801
789	6741	1792
790	6747	1782
791	6753	1773
792	6759	1764
793	6765	1755
794	6771	1746
795	6779	1737
796	6794	1730
797	6820	1726
798	6840	1720
799	6847	1711
800	6858	1704
801	6865	1695
802	6883	1688
803	6890	1679
804	6896	1670
805	6904	1661
806	6911	1652
807	6917	1643
808	6926	1635
809	6932	1626
810	6941	1617
811	6946	1608
812	6953	1599
813	6960	1590
814	6967	1581
815	6973	1572
816	6990	1565
817	7003	1558
818	7011	1549
819	7022	1541
820	7033	1533
821	7038	1524
822	7047	1515
823	7053	1506
824	7060	1497
825	7068	1488
826	7074	1479
827	7080	1470
828	7087	1461
829	7093	1452
830	7098	1443
831	7105	1434
832	7112	1425
833	7121	1417
834	7128	1408
835	7134	1399
836	7140	1390
837	7148	1381
838	7154	1372
839	7161	1364
840	7167	1355
841	7173	1346
842	7180	1337
843	7193	1329
844	7211	1322
845	7227	1315
846	7243	1308
847	7250	1299
848	7259	1291
849	7265	1282
850	7271	1273
851	7279	1264
852	7286	1255
853	7292	1246
854	7298	1237
855	7305	1228
856	7311	1220
857	7317	1211
858	7325	1202
859	7332	1193
860	7339	1184
861	7345	1176
862	7351	1167
863	7363	1159
864	7370	1150
865	7376	1141
866	7382	1132
867	7392	1124
868	7412	1117
869	7433	1110
870	7454	1103
871	7485	1098
872	7493	1090
873	7502	1081
874	7508	1072
875	7514	1063
876	7523	1055
877	7530	1046
878	7536	1037
879	7542	1028
880	7548	1019
881	7555	1010
882	7561	1001
883	7567	993
884	7573	984
885	7579	975
886	7585	966
887	7592	957
888	7610	950
889	7633	943
890	7665	937
891	7672	928
892	7680	920
893	7686	911
894	7694	902
895	7702	894
896	7708	885
897	7714	876
898	7720	867
899	7726	858
900	7731	849
901	7738	840
902	7744	831
903	7750	823
904	7757	814
905	7762	805
906	7769	796
907	7781	788
908	7791	780
909	7806	772
910	7815	763
911	7823	754
912	7836	746
913	7855	739
914	7865	730
915	7872	721
916	7879	713
917	7886	704
918	7893	695
919	7903	687
920	7909	678
921	7917	669
922	7923	660
923	7929	652
924	7935	643
925	7941	634
926	7947	625
927	7953	617
928	7960	608
929	7966	599
930	7971	590
931	7978	582
932	7984	573
933	7990	564
934	7996	555
935	8009	547
936	8026	539
937	8051	532
938	8057	523
939	8063	514
940	8070	505
941	8078	497
942	8084	488
943	8100	480
944	8106	471
945	8113	463
946	8119	454
947	8127	445
948	8134	437
949	8140	428
950	8159	420
951	8177	412
952	8193	404
953	8210	395
954	8248	388
955	8260	380
956	8270	371
957	8279	362
958	8285	354
959	8294	345
960	8304	337
961	8312	328
962	8318	319
963	8326	310
964	8336	302
965	8342	293
966	8350	284
967	8357	276
968	8363	267
969	8371	258
970	8377	250
971	8388	241
972	8402	233
973	8421	224
974	8438	216
975	8467	208
976	8477	199
977	8484	190
978	8493	182
979	8499	173
980	8505	164
981	8513	156
982	8519	147
983	8526	138
984	8532	129
985	8539	121
986	8545	112
987	8552	103
988	8558	95
989	8568	86
990	8576	77
991	8583	69
992	8593	60
993	8599	51
994	8607	43
995	8616	34
996	8629	25
997	8639	17
998	8652	8
999	8678	0
