iter	Logloss
0	0.6209309828
1	0.5580981134
2	0.5027710904
3	0.4548706116
4	0.4137161631
5	0.3778249086
6	0.3467708274
7	0.3195514891
8	0.2960897236
9	0.2758074996
10	0.2579625934
11	0.2427535148
12	0.2292574704
13	0.2174063065
14	0.207339147
15	0.1984543736
16	0.1906651654
17	0.1837619008
18	0.1777786401
19	0.1724156212
20	0.1676869488
21	0.1635474647
22	0.1598505503
23	0.156597103
24	0.1537363639
25	0.1510632296
26	0.1487735376
27	0.1466418004
28	0.1447321703
29	0.1430717221
30	0.1416490547
31	0.1403018587
32	0.1391096855
33	0.1380578791
34	0.1371090848
35	0.1362549302
36	0.1354563171
37	0.1347585497
38	0.1340649605
39	0.1335132104
40	0.1329639012
41	0.1324431193
42	0.1320313716
43	0.1315808692
44	0.1311120568
45	0.1307817122
46	0.1303901115
47	0.1300246414
48	0.1296811406
49	0.1293684499
50	0.1291259238
51	0.1288732928
52	0.1286543389
53	0.1284016429
54	0.1282274829
55	0.1280715212
56	0.127888772
57	0.1276899293
58	0.127500216
59	0.1273266583
60	0.1271490858
61	0.1269900337
62	0.1268010078
63	0.1266464449
64	0.1264875341
65	0.1263791497
66	0.126253389
67	0.126171245
68	0.1260219011
69	0.1259293007
70	0.1257922195
71	0.1256772613
72	0.1255663203
73	0.1254435849
74	0.1253243191
75	0.125270301
76	0.1251939455
77	0.1250499502
78	0.1249858618
79	0.1248839304
80	0.1247892367
81	0.1246823634
82	0.1245948823
83	0.1244803916
84	0.1244497152
85	0.1243679206
86	0.1243027108
87	0.124236847
88	0.1241526978
89	0.1240738639
90	0.1239807273
91	0.1238758262
92	0.1237719982
93	0.1236997176
94	0.1236207849
95	0.1235224757
96	0.123459068
97	0.123413601
98	0.1233111895
99	0.1232612362
100	0.12321369
101	0.1231363137
102	0.1230626519
103	0.1229698422
104	0.1229221122
105	0.1228897847
106	0.122834457
107	0.1227368629
108	0.1226954024
109	0.122642692
110	0.1225079877
111	0.1223586299
112	0.1222851238
113	0.1221816262
114	0.1220797046
115	0.1220127184
116	0.1219136719
117	0.1218215296
118	0.1217182078
119	0.1216356733
120	0.1215351924
121	0.1214653983
122	0.1213848003
123	0.1213337999
124	0.121260504
125	0.1212007402
126	0.1211099225
127	0.1210638165
128	0.12097101
129	0.1209066484
130	0.1208525878
131	0.1208315874
132	0.1207474844
133	0.1206029889
134	0.1204993818
135	0.1204079847
136	0.1203143908
137	0.1202579334
138	0.1202070796
139	0.1201216881
140	0.1200670996
141	0.1200211692
142	0.1199135484
143	0.1198751951
144	0.1198169493
145	0.1197807339
146	0.119742538
147	0.1197000638
148	0.1196115561
149	0.119560513
150	0.1194599436
151	0.1193838943
152	0.1192816218
153	0.1191935268
154	0.119128759
155	0.1190587309
156	0.1189789127
157	0.1189469699
158	0.1188717987
159	0.1188122695
160	0.1187787244
161	0.1187162676
162	0.1186366148
163	0.1185576693
164	0.1185018722
165	0.1184325907
166	0.1183995047
167	0.1182814972
168	0.1181934426
169	0.1181262575
170	0.1180316549
171	0.1179498047
172	0.11792395
173	0.1179016606
174	0.1178071091
175	0.1177591025
176	0.1176964278
177	0.1176172674
178	0.1175751372
179	0.1174914954
180	0.1174065419
181	0.1173477527
182	0.1172520349
183	0.1172033224
184	0.1171694857
185	0.1170917954
186	0.1170442934
187	0.1170031965
188	0.1169705724
189	0.1169083816
190	0.1168100586
191	0.1167225065
192	0.1166489527
193	0.1165769452
194	0.1165062559
195	0.1164165983
196	0.1163635857
197	0.1162878593
198	0.1162273725
199	0.1161638015
200	0.1160622349
201	0.1159808362
202	0.1159041497
203	0.1158124095
204	0.115743961
205	0.1156899362
206	0.115619979
207	0.1155292906
208	0.1155193775
209	0.1154703338
210	0.1154138652
211	0.1153484306
212	0.1152539893
213	0.115177885
214	0.1151051362
215	0.1150513069
216	0.1149946636
217	0.1149461503
218	0.1148974007
219	0.1147987313
220	0.1147045665
221	0.1146198957
222	0.1145024651
223	0.1143824536
224	0.1143064497
225	0.1142433168
226	0.1141566203
227	0.1140713445
228	0.1139722869
229	0.1139248043
230	0.1138097386
231	0.1137486231
232	0.1136512201
233	0.1135931616
234	0.1135064949
235	0.1134134296
236	0.1133399671
237	0.113265132
238	0.1131804402
239	0.1131168092
240	0.1130728041
241	0.1129931862
242	0.1129497783
243	0.1128476241
244	0.1127572937
245	0.1126920459
246	0.1126154328
247	0.112576376
248	0.1124783132
249	0.1124027018
250	0.1123328227
251	0.1122693189
252	0.1122042539
253	0.112143753
254	0.1120615606
255	0.1119895633
256	0.1118960539
257	0.1117972
258	0.1117093867
259	0.1115545135
260	0.1115036523
261	0.1114330301
262	0.1113585669
263	0.1112824615
264	0.1112146797
265	0.1111352514
266	0.1110637273
267	0.1109844349
268	0.1109063211
269	0.110862025
270	0.1108112779
271	0.1107433931
272	0.1106748081
273	0.1106155723
274	0.1105324955
275	0.1104489459
276	0.1104185437
277	0.1103305996
278	0.1102938114
279	0.110194287
280	0.11012665
281	0.1100587467
282	0.109975382
283	0.1099176778
284	0.1098684674
285	0.1097850099
286	0.1097008508
287	0.1096731412
288	0.1095992703
289	0.1095161699
290	0.1094441226
291	0.1093828553
292	0.1093246399
293	0.1092485171
294	0.109179979
295	0.1091008034
296	0.1090284872
297	0.1089497688
298	0.1088729299
299	0.1087698931
300	0.1087326776
301	0.1086731457
